Status	MARCField	MARCFieldLabel	MARCInd1Label	MARCInd1Value	MARCInd1ValueLabel	MARCInd2Label	MARCInd2Value	MARCInd2ValueLabel	CharacterPosition	CharacterPositionLabel	MARCSubfield	MARCSubfieldLabel	CodeValue	CodeValueLabel	MARCTagCondition1	Condition1Values	MARCTagCondition2	Condition2Values	RDA Registry URI	RDA Registry Label	Recording Method	Justification for Mapping	Transformation Notes	Problems with Mapping	Notes (Uncategorized)	Milestone	Column1
	1	CONTROL NUMBER (NR)																									
	3	CONTROL NUMBER IDENTIFIER (NR)																									
	5	DATE AND TIME OF LATEST TRANSACTION (NR)																									
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)					0				-3								http://rdaregistry.info/Elements/e/P20219	has duration				"Attention: MARCField/MARCInd2Value combination does not exist ;
Attention: MARCField/MARCSubfield combination does not exist"			
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)					0				-4								http://rdaregistry.info/Elements/e/P20318	has relief representation				"Attention: MARCField/MARCInd2Value combination does not exist ;
Attention: MARCField/MARCSubfield combination does not exist"			
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)					0												http://rdaregistry.info/Elements/w/P10368	has frequency				Attention: MARCField/MARCInd2Value combination does not exist			
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)					0												http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation				Attention: MARCField/MARCInd2Value combination does not exist			
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			a	Language material					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			a	Language material					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			c	Notated music					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			c	Notated music					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			d	Manuscript notated music					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			d	Manuscript notated music					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			e	Cartographic material					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			e	Cartographic material					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			f	Manuscript cartographic material					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			f	Manuscript cartographic material					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			g	Projected medium					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			g	Projected medium					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			i	Nonmusical sound recording					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			i	Nonmusical sound recording					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			j	Musical sound recording					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			j	Musical sound recording					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			k	Two-dimensional nonprojectable graphic					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			k	Two-dimensional nonprojectable graphic					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			m	Computer file/Electronic resource					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			m	Computer file/Electronic resource					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			o	Kit					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			o	Kit					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			p	Mixed material					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			p	Mixed material					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			r	Three-dimensional artifact or naturally occurring object					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			r	Three-dimensional artifact or naturally occurring object					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			s	Serial/Integrating resource					http://rdaregistry.info/Elements/w/P10368	has frequency							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			s	Serial/Integrating resource					http://rdaregistry.info/Elements/m/P30305	has intended audience of manifestation							
	6	FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R)							0	Form of material			t	Manuscript language material					http://rdaregistry.info/Elements/w/P10368	has frequency							
