Not Mapped,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized),Milestone
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R), , ,$e,programmer,$4 ,prg,http://rdaregistry.info/Elements/w/P10050,has programmer agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R), ,,$e,designer,$4 ,dsr,http://rdaregistry.info/Elements/w/P10051,has designer agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,cartographer,$4 ,ctg,http://rdaregistry.info/Elements/w/P10052,has cartographer agent of work,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,composer,$4 ,cmp,http://rdaregistry.info/Elements/w/P10053,has composer agent of work,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,inventor,$4 ,inv,http://rdaregistry.info/Elements/w/P10054,has inventor agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,compiler,$4 ,com,http://rdaregistry.info/Elements/w/P10055,has compiler agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,photographer,$4 ,pht,http://rdaregistry.info/Elements/w/P10056,has photographer agent of work,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,interviewer,$4 ,ivr,http://rdaregistry.info/Elements/w/P10057,has interviewer agent of work,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,artist,$4 ,art,http://rdaregistry.info/Elements/w/P10058,has artist agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,interviewee,$4 ,ive,http://rdaregistry.info/Elements/w/P10059,has interviewee agent of work,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,choreographer,$4 ,chr,http://rdaregistry.info/Elements/w/P10060,has choreographer agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,author,$4 ,aut,http://rdaregistry.info/Elements/w/P10061,has author agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,architect,$4 ,arc,http://rdaregistry.info/Elements/w/P10062,has architect agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,filmmaker,$4 ,fmk,http://rdaregistry.info/Elements/w/P10063,has filmmaker agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,creator,$4 ,cre,http://rdaregistry.info/Elements/w/P10065,has creator agent of work,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,, ,,,,http://rdaregistry.info/Elements/w/P10088,has title of work,,100 field does not contain title information in a bib record,,,DELETE,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,landscape architect,,,http://rdaregistry.info/Elements/w/P10200,has landscape architect agent, ,,,,Not in LC relator terms,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,sculptor,$4 ,scl,http://rdaregistry.info/Elements/w/P10202,has sculptor agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,lyricist,$4 ,lyr,http://rdaregistry.info/Elements/w/P10204,has lyricist agent,identifier,,,,,
,100,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,$e,librettist,$4 ,lbt,http://rdaregistry.info/Elements/w/P10205,has librettist agent,identifier,,,,,
