Status	MARCField	MARCFieldLabel	MARCInd1Label	MARCInd1Value	MARCInd1ValueLabel	MARCInd2Label	MARCInd2Value	MARCInd2ValueLabel	CharacterPosition	CharacterPositionLabel	MARCSubfield	MARCSubfieldLabel	CodeValue	CodeValueLabel	MARCTagCondition1	Condition1Values	MARCTagCondition2	Condition2Values	RDA Registry URI	RDA Registry Label	Recording Method	Justification for Mapping	Transformation Notes	Problems with Mapping	Notes (Uncategorized)
	270	ADDRESS (R)	Level	#	No level specified	Type of address	#	No type specified			4	Relationship (R)													
	270	ADDRESS (R)	Level	#	No level specified	Type of address	0	Mailing			4	Relationship (R)													
	270	ADDRESS (R)	Level	#	No level specified	Type of address	7	Type specified in subfield $i			4	Relationship (R)													
	270	ADDRESS (R)	Level	1	Primary	Type of address	#	No type specified			4	Relationship (R)													
	270	ADDRESS (R)	Level	1	Primary	Type of address	0	Mailing			4	Relationship (R)													
	270	ADDRESS (R)	Level	1	Primary	Type of address	7	Type specified in subfield $i			4	Relationship (R)													
	270	ADDRESS (R)	Level	2	Secondary	Type of address	#	No type specified			4	Relationship (R)													
	270	ADDRESS (R)	Level	2	Secondary	Type of address	0	Mailing			4	Relationship (R)													
	270	ADDRESS (R)	Level	2	Secondary	Type of address	7	Type specified in subfield $i			4	Relationship (R)													
	210	ABBREVIATED TITLE (R)	Title added entry	0	No added entry	Type	#	Abbreviated key title			a	Abbreviated title (NR)													
	210	ABBREVIATED TITLE (R)	Title added entry	0	No added entry	Type	0	Other abbreviated title			a	Abbreviated title (NR)													
	210	ABBREVIATED TITLE (R)	Title added entry	1	Added entry	Type	#	Abbreviated key title			a	Abbreviated title (NR)													
	210	ABBREVIATED TITLE (R)	Title added entry	1	Added entry	Type	0	Other abbreviated title			a	Abbreviated title (NR)													
	211	ACRONYM OR SHORTENED TITLE (R) [OBSOLETE]	Title added entry	0	No title added entry	Nonfiling characters	0-9	Number of nonfiling characters present			a	Acronym or shortened title (NR)													
	211	ACRONYM OR SHORTENED TITLE (R) [OBSOLETE]	Title added entry	1	Title added entry	Nonfiling characters	0-9	Number of nonfiling characters present			a	Acronym or shortened title (NR)													
	212	VARIANT ACCESS TITLE (R) [OBSOLETE]	Title added entry	0	No title added entry	Undefined	#	Undefined			a	Variant access title (NR)													
	212	VARIANT ACCESS TITLE (R) [OBSOLETE]	Title added entry	1	Title added entry	Undefined	#	Undefined			a	Variant access title (NR)													
	214	AUGMENTED TITLE (R) [OBSOLETE]	Title added entry	0	No title added entry	Nonfiling characters	0-9	Number of nonfiling characters present			a	Augmented title (NR)													
	214	AUGMENTED TITLE (R) [OBSOLETE]	Title added entry	1	Title added entry	Nonfiling characters	0-9	Number of nonfiling characters present			a	Augmented title (NR)													
	222	KEY TITLE (R)	Undefined	*		Nonfiling characters	*				a	Key title (NR)							http://rdaregistry.info/Elements/w/P10367	has key title					
	240	UNIFORM TITLE (NR)	Uniform title printed or displayed	*		Nonfiling characters	*				a	Uniform title (NR)							http://rdaregistry.info/Elements/w/P10088	has title of work					
	240	UNIFORM TITLE (NR)	Uniform title printed or displayed	*		Nonfiling characters	*				a	Uniform title (NR)							http://rdaregistry.info/Elements/w/P10223	has preferred title of work					
	240	UNIFORM TITLE (NR)	Uniform title printed or displayed	*		Nonfiling characters	*				a	Uniform title (NR)							http://rdaregistry.info/Elements/e/P20312	has title of expression					
	241	ROMANIZED TITLE (BK AM CF MP MU VM) (NR) [OBSOLETE]	Title added entry	0	No title added entry	Nonfiling characters	0-9	Number of nonfiling characters			a	Romanized title (NR)													
	241	ROMANIZED TITLE (BK AM CF MP MU VM) (NR) [OBSOLETE]	Title added entry	1	Title added entry	Nonfiling characters	0-9	Number of nonfiling characters			a	Romanized title (NR)													
	242	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Title added entry	0	No added entry	Nonfiling characters	0-9	Number of nonfiling characters			a	Title (NR)													
	242	TRANSLATION OF TITLE BY CATALOGING AGENCY (R)	Title added entry	1	Added entry	Nonfiling characters	0-9	Number of nonfiling characters			a	Title (NR)													
