Status	MARCField	MARCFieldLabel	MARCInd1Label	MARCInd1Value	MARCInd1ValueLabel	MARCInd2Label	MARCInd2Value	MARCInd2ValueLabel	CharacterPosition	CharacterPositionLabel	MARCSubfield	MARCSubfieldLabel	CodeValue	CodeValueLabel	MARCTagCondition1	Condition1Values	MARCTagCondition2	Condition2Values	RDA Registry URI	RDA Registry Label	Recording Method	Justification for Mapping	Transformation Notes	Problems with Mapping	Notes (Uncategorized)
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				a	Extent (R)							http://rdaregistry.info/Elements/e/P20219	has duration					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				a	Extent (R)							http://rdaregistry.info/Elements/e/P20307	has related timespan of expression					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				a	Extent (R)							http://rdaregistry.info/Elements/e/P20321	has extent of expression					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				a	Extent (R)							http://rdaregistry.info/Elements/m/P30182	has extent of manifestation					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				a	Extent (R)							http://rdaregistry.info/Elements/m/P30183	has file size					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				a	Extent (R)							http://rdaregistry.info/Elements/m/P30199	has font size					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				a	Extent (R)							http://rdaregistry.info/Elements/m/P30306	has font point size					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/e/P20573	has colour					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30084	has applied material					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30096	has encoding format					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30104	has video format					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30122	has emulsion on microfilm and microfiche					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30123	has broadcast standard					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30125	has sound characteristic					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30126	has video characteristic					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30127	has projection characteristic of motion picture film					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30138	has special playback characteristic					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30155	has layout					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30161	has track configuration					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30163	has presentation format					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30164	has groove characteristic					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30172	has type of recording					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30184	has configuration of playback channels					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30185	has tape configuration					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30186	has mount					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30187	has production method					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30196	has polarity					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30198	has reduction ratio					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30200	has projection speed					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30201	has playing speed					
	300	PHYSICAL DESCRIPTION (R)	Undefined	*		Undefined	*				b	Other physical details (NR)							http://rdaregistry.info/Elements/m/P30206	has recording medium					
