Not Mapped,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized),Milestone,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,,,,,http://rdaregistry.info/Elements/w/P10019,is part of work,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,,,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,,,,,http://rdaregistry.info/Elements/w/P10102,is issue of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,,,,,http://rdaregistry.info/Elements/w/P10198,has related work of work,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,,,,,http://rdaregistry.info/Elements/w/P10411,is special issue of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,http://rdaregistry.info/Elements/w/P10019,is part of work,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,http://rdaregistry.info/Elements/w/P10102,is issue of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,http://rdaregistry.info/Elements/w/P10198,has related work of work,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,http://rdaregistry.info/Elements/w/P10411,is special issue of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,a,Personal name (NR),,,,,,,http://rdaregistry.info/Elements/w/P10019,is part of work,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,a,Personal name (NR),,,,,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,a,Personal name (NR),,,,,,,http://rdaregistry.info/Elements/w/P10102,is issue of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,a,Personal name (NR),,,,,,,http://rdaregistry.info/Elements/w/P10411,is special issue of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,b,Numeration (NR),,,,,,,http://rdaregistry.info/Elements/w/P10019,is part of work,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,b,Numeration (NR),,,,,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,b,Numeration (NR),,,,,,,http://rdaregistry.info/Elements/w/P10102,is issue of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,b,Numeration (NR),,,,,,,http://rdaregistry.info/Elements/w/P10411,is special issue of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,c,Titles and other words associated with a name (R),,,,,,,http://rdaregistry.info/Elements/w/P10019,is part of work,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,c,Titles and other words associated with a name (R),,,,,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,c,Titles and other words associated with a name (R),,,,,,,http://rdaregistry.info/Elements/w/P10102,is issue of,,,,,,,
,800,SERIES ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,*,,Undefined,*,,,,c,Titles and other words associated with a name (R),,,,,,,http://rdaregistry.info/Elements/w/P10411,is special issue of,,,,,,,
