Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,dramatized as work|is dramatized as work,,,http://rdaregistry.info/Elements/w/P10016,is dramatized as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted in verse as work|is adapted in verse as work,,,http://rdaregistry.info/Elements/w/P10023,is adapted in verse as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as motion picture work|is adapted as motion picture work,,,http://rdaregistry.info/Elements/w/P10025,is adapted as motion picture work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,cadenza work|has cadenza work,,,http://rdaregistry.info/Elements/w/P10026,has cadenza work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,variations based on work|is variations based on work,,,http://rdaregistry.info/Elements/w/P10027,is variations based on work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,modified by variation as work|is modified by variation as work,,,http://rdaregistry.info/Elements/w/P10028,is modified by variation as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,cadenza composed for work|is cadenza composed for work,,,http://rdaregistry.info/Elements/w/P10029,is cadenza composed for work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,libretto for work|is libretto for work,,,http://rdaregistry.info/Elements/w/P10030,is libretto for work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,incidental music work|has incidental music work,,,http://rdaregistry.info/Elements/w/P10031,has incidental music work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,remade as work|is remade as work,,,http://rdaregistry.info/Elements/w/P10032,is remade as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,set to music as work|is set to music as work,,,http://rdaregistry.info/Elements/w/P10033,is set to music as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as novel work|is adapted as novel work,,,http://rdaregistry.info/Elements/w/P10034,is adapted as novel work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as radio program work|is adapted as radio program work,,,http://rdaregistry.info/Elements/w/P10076,is adapted as radio program work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as television program work|is adapted as television program work,,,http://rdaregistry.info/Elements/w/P10085,is adapted as television program work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as video work|is adapted as video work,,,http://rdaregistry.info/Elements/w/P10087,is adapted as video work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,abstracted in work|is abstracted in work,,,http://rdaregistry.info/Elements/w/P10089,is abstracted in work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,indexed in work|is indexed in work,,,http://rdaregistry.info/Elements/w/P10090,is indexed in work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as choreography work|is adapted as choreography work,,,http://rdaregistry.info/Elements/w/P10091,is adapted as choreography work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,illustrations work|has illustrations work,,,http://rdaregistry.info/Elements/w/P10093,has illustrations work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as motion picture screenplay work|is adapted as motion picture screenplay work,,,http://rdaregistry.info/Elements/w/P10094,is adapted as motion picture screenplay work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as screenplay work|is adapted as screenplay work,,,http://rdaregistry.info/Elements/w/P10095,is adapted as screenplay work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as television screenplay work|is adapted as television screenplay work,,,http://rdaregistry.info/Elements/w/P10096,is adapted as television screenplay work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as video screenplay work|is adapted as video screenplay work,,,http://rdaregistry.info/Elements/w/P10097,is adapted as video screenplay work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as radio script work|is adapted as radio script work,,,http://rdaregistry.info/Elements/w/P10098,is adapted as radio script work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,freely translated as work|is freely translated as work,,,http://rdaregistry.info/Elements/w/P10099,is freely translated as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,description of work|is description of work,,,http://rdaregistry.info/Elements/w/P10100,is description of work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,complemented by work|is complemented by work,,,http://rdaregistry.info/Elements/w/P10103,is complemented by work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,screenplay for work|is screenplay for work,,,http://rdaregistry.info/Elements/w/P10105,is screenplay for work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,incidental music for work|is incidental music for work,,,http://rdaregistry.info/Elements/w/P10106,is incidental music for work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,abstracted as work|is abstracted as work,,,http://rdaregistry.info/Elements/w/P10107,is abstracted as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,augmented by work|is augmented by work,,,http://rdaregistry.info/Elements/w/P10108,is augmented by work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,summarized as work|is summarized as work,,,http://rdaregistry.info/Elements/w/P10109,is summarized as work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,catalogue work|has catalogue work,,,http://rdaregistry.info/Elements/w/P10110,has catalogue work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,concordance work|has concordance work,,,http://rdaregistry.info/Elements/w/P10111,has concordance work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,adapted as libretto work|is adapted as libretto work,,,http://rdaregistry.info/Elements/w/P10113,is adapted as libretto work,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,work reviewed in|is work reviewed in,,,http://rdaregistry.info/Elements/w/P10114,is work reviewed in,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,work critiqued in|is work critiqued in,,,http://rdaregistry.info/Elements/w/P10115,is work critiqued in,,,,,
,787,OTHER RELATIONSHIP ENTRY (R),Note controller,*,,Display constant controller,*,,,,a,Main entry heading (NR),,,,work commentary in|is work commentary in,,,http://rdaregistry.info/Elements/w/P10116,is work commentary in,,,,,
