Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,0,Library of Congress Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,1,LC subject headings for children's literature,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,2,Medical Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,3,National Agricultural Library subject authority file,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,4,Source not specified,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,5,Canadian Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,6,R??pertoire de vedettes-mati??re,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,7,Source specified in subfield $2,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,0,Library of Congress Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,1,LC subject headings for children's literature,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,2,Medical Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,3,National Agricultural Library subject authority file,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,4,Source not specified,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,5,Canadian Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,6,R??pertoire de vedettes-mati??re,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,0,No level specified,Thesaurus,7,Source specified in subfield $2,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,1,Primary,Thesaurus,0,Library of Congress Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,1,Primary,Thesaurus,1,LC subject headings for children's literature,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,1,Primary,Thesaurus,2,Medical Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,1,Primary,Thesaurus,3,National Agricultural Library subject authority file,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,1,Primary,Thesaurus,4,Source not specified,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,1,Primary,Thesaurus,5,Canadian Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,1,Primary,Thesaurus,6,R??pertoire de vedettes-mati??re,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,1,Primary,Thesaurus,7,Source specified in subfield $2,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,2,Secondary,Thesaurus,0,Library of Congress Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,2,Secondary,Thesaurus,1,LC subject headings for children's literature,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,2,Secondary,Thesaurus,2,Medical Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,2,Secondary,Thesaurus,3,National Agricultural Library subject authority file,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,2,Secondary,Thesaurus,4,Source not specified,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,2,Secondary,Thesaurus,5,Canadian Subject Headings,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,2,Secondary,Thesaurus,6,R??pertoire de vedettes-mati??re,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,2,Secondary,Thesaurus,7,Source specified in subfield $2,,,z,Geographic subdivision (R),,,,,,,,,,,,,
,650,SUBJECT ADDED ENTRY--TOPICAL TERM (R),Level of subject,#,No information provided,Thesaurus,0,Library of Congress Subject Headings,,,y,Chronological subdivision (R),,,,,,,,,,,,,
