,Status,MARCField,MARCFieldLabel,CharacterPosition,CharacterPositionLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,,,http://rdaregistry.info/Elements/w/P10368,has frequency,,,,Attention: MARCField/MARCInd2Value combination does not exist,
1,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,,,http://rdaregistry.info/Elements/m/P30305,has intended audience of manifestation,,,,Attention: MARCField/MARCInd2Value combination does not exist,
2,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,,,http://rdaregistry.info/Elements/e/P20219,has duration,,,,Attention: MARCField/MARCInd2Value combination does not exist ;,
3,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),,,,,,,,,http://rdaregistry.info/Elements/e/P20318,has relief representation,,,,Attention: MARCField/MARCInd2Value combination does not exist ;,
4,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),00,Form of material,a,Language material,,,,,http://rdaregistry.info/Elements/w/P10368,has frequency,,,,,
5,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),00,Form of material,a,Language material,,,,,http://rdaregistry.info/Elements/m/P30305,has intended audience of manifestation,,,,,
6,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),00,Form of material,c,Notated music,,,,,http://rdaregistry.info/Elements/w/P10368,has frequency,,,,,
7,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),00,Form of material,c,Notated music,,,,,http://rdaregistry.info/Elements/m/P30305,has intended audience of manifestation,,,,,
8,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),00,Form of material,d,Manuscript notated music,,,,,http://rdaregistry.info/Elements/w/P10368,has frequency,,,,,
9,,6,FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS--GENERAL INFORMATION (R),00,Form of material,d,Manuscript notated music,,,,,http://rdaregistry.info/Elements/m/P30305,has intended audience of manifestation,,,,,
