,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,MARCTagCondition4,RDA Registry URI,RDA Registry Label, ,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$1, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,approved $1,,$2,,,RDA URI in table,RDA element in table,IRI,"An Agent Main entry field was originally supposed to tell us who is responsible for the Work described by the record, except in special situations (e.g., music albums). But, especially now that we are adding multiple Agent Relator values to Agent main entry fields (in $e or $4), any of those values can be for any WEMI relationship. Fortunately (when the MARC record is describing a single-part work) as long as a Relator value maps to an RDA URI, it will relate the agent to the appropriate WEMI.","<work> property from table <$1> . // has subject person
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-02", ,"We will record an external IRI in a subfield $1 from a headings field as the object of a triple with a relationship property. 

Range is associated with the RDA relationship properties; the range essentially types the object of the triple, so in this case it types the IRI (what class of entity the IRI represents).

We will not make statements about the IRI in subfield $1 except for adding an authorized access point triple with the heading as the object. 

If the source of the heading is given, the heading object will be a minted nomen; 

if not, the object will be a literal string. If a nomen is minted, we will make statements about the nomen that include the nomen string and the scheme/source of the nomen.

We will develop a preference list of subfield $1 sources if the field contains multiple $1 values.--Gordon (https://github.com/uwlib-cams/MARC2RDA/discussions/450)"
1,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$1, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,approved $1,,no $2, ,,RDA URI in table,RDA element in table,IRI, ,"<work> property from table <$1> . // has subject person
<$1> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-02", , 
2,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$1,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,,$2,,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,IRI,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<work> rdawo:P10312 <$1> . // has subject person
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-02",,
3,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$1,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,,no $2,,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,IRI, ,"<work> rdawo:P10312 <$1> . // has subject person
<$1> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-02",,
4,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,$0 type is right and no $1,,$2, ,,RDA URI in table,RDA element in table,IRI, ,"<work> property from table <converted $0> . // has subject person
<converted $0> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-12", , 
5,reviewed,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,$0 or $1 type is unapproved,,no $2, ,,RDA URI in table,RDA element in table,IRI, ,"<work> property from table <converted $0> . // has subject person
<converted $0> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-12", , 
6,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,,$2,,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,IRI, ,"<work> rdawo:P10312 <converted $0> . // has subject person
<converted $0> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-12",,
7,first pass,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$0,,,,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,approved $1,,no $2,,,https://www.rdaregistry.info/Elements/w/object/#P10312,has related person of work ,IRI, ,"<work> rdawo:P10312 <converted $0> . // has subject person
<converted $0> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-12",,
8,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$1|$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,,,no $2,$1|$0 from id.loc.gov,,RDA URI in table,RDA element in table,IRI, ,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50411 ""value of a, b, c, d, g, j, q, u"" . // has authorized access point for person", , 
9,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0|1,,Undefined,*,,,,$1|$0, ,,,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,,,no $2,$1|$0 not from id.loc.gov,,RDA URI in table,RDA element in table,IRI, ,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50377  ""value of a, b, c, d, g, j, q, u"" . // has access point for person", ,"Run pre-processing on the data to reconcile as many access points as possible against the LCNAF
If, after this pre-processing, a headings field for any entity (including Agents as well as Works and Expressions) does not have an approved $0 or $1 or $2 that provides a source VES for the heading, then:
Mint an opaque IRI for the entity
Record the appropriate access point subfields from the heading as an 'access point for [entity]' (not an authorized access point)
Do not mint a nomen for the access point

We are only minting a related entity when a) we can attach an appellation for conformance with RDA and b) when we can extract additional descriptive data from the record and attach it. If these conditions are not met, we should not mint a related entity and just use a literal for the record's data value.

We have agreed, I think, that if a source is given for a heading for a related entity but an IRI is not recorded, that is sufficient to meet the condition for minting our own IRI and attach the heading as an appellation. We expect the given source to be processed as data provenance, as the nomen scheme of the nomen string that is the appellation/heading. This requires the appellation to be minted as a nomen.

We have also agreed, I think, that a nomen is only minted if there is a source for the heading/nomen string.

If an IRI for the related entity/rwo is given, in many cases the de-referenced description set includes the heading as a string, so there seems to be limited cost-benefit in minting a heading nomen, etc. However, we have agreed, I think, to mint nomens for all subject headings, etc. because the coverage in the source schemes is patchy or messy.

If no source is given for a heading, we cannot assume what the source is, and therefore which SES is used. We can assume that the appellation/heading is an access point because it is structured in some unknown way and it is clearly not an identifier. We cannot assume that the heading is authorized for two reasons.

No authorization process has taken place and no attempt has been made to disambiguate the heading. This applies to significant quantities of records, for example publishers' metadata.

The authorization is local, and the heading has only been disambiguated against the local copies of authority and dataset files. This covers cases of local disagreement/user-focus with national norms, for example the addition of death dates to already disambiguated access points for persons.

If the heading is not disambiguated in a known scheme, the 'proliferation of minted entities' has to be balanced against the impact of erroneously merging two distinct entities. In previous discussions we have agreed, I think, that it is better to say too much than to say the wrong thing :-)

I think the suggestion of 'transform' as a nomen scheme is actually more work and less safe than just using the heading as a literal access point for a non-disambiguated related entity. And both require transform warnings.

"
