,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,MARCTagCondition4,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,Identified and approved source in $2,,RDA URI in table,RDA element in table,IRI,"An Agent Main entry field was originally supposed to tell us who is responsible for the Work described by the record, except in special situations (e.g., music albums). But, especially now that we are adding multiple Agent Relator values to Agent main entry fields (in $e or $4), any of those values can be for any WEMI relationship. Fortunately (when the MARC record is describing a single-part work) as long as a Relator value maps to an RDA URI, it will relate the agent to the appropriate WEMI.","<WorkIRI> RDA URI <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, c, d, e, g, n, q, u"". // has authorized access point for  corporate body
",,
1,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,Identified and unapproved source in $2,,RDA URI in table,RDA element in table,IRI,"An Agent Main entry field was originally supposed to tell us who is responsible for the Work described by the record, except in special situations (e.g., music albums). But, especially now that we are adding multiple Agent Relator values to Agent main entry fields (in $e or $4), any of those values can be for any WEMI relationship. Fortunately (when the MARC record is describing a single-part work) as long as a Relator value maps to an RDA URI, it will relate the agent to the appropriate WEMI.","<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaao:P50375 <nomenIRI>. // has access point for corporate body
<NomenIRI>  rdand:P80068""value of a, c, d, e, g, n, q, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <transform> . // has scheme of nomen",,
2,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,No source in $2 with approved $1,,RDA URI in table,RDA element in table,IRI,"An Agent Main entry field was originally supposed to tell us who is responsible for the Work described by the record, except in special situations (e.g., music albums). But, especially now that we are adding multiple Agent Relator values to Agent main entry fields (in $e or $4), any of those values can be for any WEMI relationship. Fortunately (when the MARC record is describing a single-part work) as long as a Relator value maps to an RDA URI, it will relate the agent to the appropriate WEMI.","<WorkIRI> RDA URI <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, c, d, e, g, n, q, u"". // has authorized access point for corporate body",,
3,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,No source in $2 with unapproved $1,,RDA URI in table,RDA element in table,IRI,"An Agent Main entry field was originally supposed to tell us who is responsible for the Work described by the record, except in special situations (e.g., music albums). But, especially now that we are adding multiple Agent Relator values to Agent main entry fields (in $e or $4), any of those values can be for any WEMI relationship. Fortunately (when the MARC record is describing a single-part work) as long as a Relator value maps to an RDA URI, it will relate the agent to the appropriate WEMI.","<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50375   ""value of a, c, d, e, g, n, q, u"". . // has access point for corporate body",,
4,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $2,$1|$0 from id.loc.gov,RDA URI in table,RDA element in table,IRI, ,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50407 ""value of a, c, d, e, g, n, q, u"". // has authorized access point for corporate body",,
5,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0, ,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table,Agent Relator Table,no $2,$1|$0 not from id.loc.gov,RDA URI in table,RDA element in table,IRI,"An Agent Main entry field was originally supposed to tell us who is responsible for the Work described by the record, except in special situations (e.g., music albums). But, especially now that we are adding multiple Agent Relator values to Agent main entry fields (in $e or $4), any of those values can be for any WEMI relationship. Fortunately (when the MARC record is describing a single-part work) as long as a Relator value maps to an RDA URI, it will relate the agent to the appropriate WEMI.","<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50375  ""value of a, c, d, e, g, n, q, u"". // has access point for corporate body",,
6,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0,,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table, ,Identified and approved source in $2,,https://www.rdaregistry.info/Elements/w/object/#P10314,has related corporate body of work,IRI,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<WorkIRI> has related corporate body of work <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, c, d, e, g, n, q, u"". // has authorized access point for  corporate body
",,
7,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0,,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table, ,Identified and unapproved source in $2,,https://www.rdaregistry.info/Elements/w/object/#P10314,has related corporate body of work,IRI,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<WorkIRI> has related corporate body of work <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaao:P50375 <nomenIRI>. // has access point for corporate body
<NomenIRI>  rdand:P80068""value of a, c, d, e, g, n, q, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <transform> . // has scheme of nomen",,
8,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0,,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table, ,No source in $2 with approved $1,,https://www.rdaregistry.info/Elements/w/object/#P10314,has related corporate body of work,IRI,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<WorkIRI> has related corporate body of work <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, c, d, e, g, n, q, u"". // has authorized access point for corporate body",,
9,first pass,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0,,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table, ,No source in $2 with unapproved $1,,https://www.rdaregistry.info/Elements/w/object/#P10314,has related corporate body of work,IRI,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<WorkIRI> has related corporate body of work <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50375   ""value of a, c, d, e, g, n, q, u"". . // has access point for corporate body",,
10,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0,,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,$1|$0 from id.loc.gov,https://www.rdaregistry.info/Elements/w/object/#P10314,has related corporate body of work,IRI,,"<WorkIRI> has related corporate body of work <$1|$0>
<$1|$0> rdaad:P50407 ""value of a, c, d, e, g, n, q, u"" . // has authorized access point for  corporate body
",,
11,delete,111.0,MAIN ENTRY--MEETING NAME (NR),Type of meeting name entry element,*,,Undefined,*,,,,$1|$0,,,,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table, ,no $2,$1|$0 not from id.loc.gov,https://www.rdaregistry.info/Elements/w/object/#P10314,has related corporate body of work,IRI,"If we do not have a Relator value that maps to an RDA URI (see the bullet point above), we cannot assume that the agent described by an Agent Main entry field is related to a work; it could be related to an expression (e.g., a performer); it should not be related to a manifestation or an item. Therefore, we can use a Work relationship (A related agent of expression is also a related agent of the work that is realized by the expression as a shortcut that ignores the expression) ","<WorkIRI> has related corporate body of work <$1|$0>
<$1|$0> rdaad:P50375  ""value of a, c, d, e, g, n, q, u"". // has access point for  corporate body
",,
