,     ,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3 Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,delete,336,CONTENT TYPE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,2,Source (NR),,,,,,,,,[no direct mapping]. Vocabulary encoding scheme (VES),,,,"Output source of term to an XML comment, one commentand another comment when it does not.
comment 1 ( when $2 contains 'rda' and no $1 or $0): Source of rdaed:P20001 'hasContentType' value is coded '<xsl:value-of select=""marc:subfield[@code='2']""/>': lookup the value of rdaed:P20001 in that source, retrieve the IRI and insert it into the data as the direct value of rdaeo:P20001.
comment 2 (when $2 does not contain 'rda' and no $1 or $0): Source of the rdaed:P20001 'hasContentType' value is coded '<xsl:value-of select=""marc:subfield[@code='2']""/>': it may be possible to consult that source to retrieve an IRI for the current value of rdaed:P20001.

coded. --TG, 2022-11-11",,VES
1,not mapped,336,CONTENT TYPE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,"At present not mapped. --TG, 2022-11-11",,
2,not mapped,336,CONTENT TYPE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,,,
3,reviewed,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,not starts with 'http://id.loc.gov/vocabulary/contentTypes',,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdae:P20001 [value of $1], ,
4,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/crd,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1001, ,
5,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/cri,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1002, ,
6,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/crm,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1003, ,
7,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/crt,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1004, ,
8,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/crn,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1005, ,
9,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/crf,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1006, ,
10,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/cod,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1007, ,
11,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/cop,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1008, ,
12,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/ntv,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1009, ,
13,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/ntm,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1010, ,
14,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/xxx|http://id.loc.gov/vocabulary/contentTypes/zzz,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 {value of $1}, ,
15,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/prm,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1011, ,
