,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,delete,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,*,,Undefined,*,,,,a,Information about documentation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10124,has guide work,,,,,
1,delete,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,*,,Undefined,*,,,,a,Information about documentation note (NR),,,,,,,http://rdaregistry.info/Elements/e/P20120,has guide expression,,,,,
2,first pass,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,*,,Undefined,*,,,,"a, z",Information about documentation note (NR),,,,,,,http://rdaregistry.info/Elements/w/P10330,has note on work,unstructured description,,"Precede subfield values with [Subfield label] + "": ""
Follow subfield values wtih "".""",,
3,not mapped,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,*,,Undefined,*,Undefined,,,z,International Standard Book Number (R),,,,,,,,,,,,,"Not enough information given about documentation identified by an ISBN to justify a separate mapping for $z, which would involve minting IRIs for an RDA Work and RDA Manifestation - 2024-1-3 CP"
4,not mapped,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,#,Documentation,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
5,not mapped,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,#,Documentation,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
6,not mapped,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,#,Documentation,Undefined,#,Undefined,,,z,International Standard Book Number (R),,,,,,,,,,,,,
7,not mapped,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,8,No display constant generated,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
8,not mapped,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,8,No display constant generated,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
9,not mapped,556,INFORMATION ABOUT DOCUMENTATION NOTE (R),Display constant controller,8,No display constant generated,Undefined,#,Undefined,,,z,International Standard Book Number (R),,,,,,,,,,,,,
