,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,reviewed,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,not(2),,,,$1, ,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,$1 is approved,,$2,,,RDA URI in table,RDA element in table,IRI, ,"<entity> property from table <$1>
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-13",," mappings for added entries (when ind2 != 2)
-- CP 2025-01-06"
1,reviewed,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,not(2),,,,$1, ,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,$1 is approved,,no $2,,,RDA URI in table,RDA element in table,IRI, ,"<entity> property from table <$1>
<$1> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-13",, 
2,reviewed,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e and $4 are not provided or both provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$1 is approved,,$2,no $5,,https://www.rdaregistry.info/Elements/m/object/#P30268 ,has related person of manifestation,IRI, ,"<manifestation> related person of manifestation <$1>
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-13",,
3,reviewed,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e and $4 are not provided or both provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$1 is approved,,no $2,no $5,,https://www.rdaregistry.info/Elements/m/object/#P30268 ,has related person of manifestation,IRI, ,"<manifestation> related person of manifestation <$1>
<$1> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-13",,
4,reviewed,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$1 is approved,,$2,5,,https://www.rdaregistry.info/Elements/i/object/#P40073 ,has related person of item,IRI,,"<item> related person of item <$1>
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-13",,
5,reviewed,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,not(2),,,,$1,,,,no $t,only name portion,$e and $4 are not provided or both provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,$1 is approved,,no $2,5,,https://www.rdaregistry.info/Elements/i/object/#P40073 ,has related person of item,IRI,,"<item> related person of item <$1>
<$1> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-13",,
6,reviewed,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,not(2),,,,$0, ,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,$0 type is right and no $1,,$2,,,RDA URI in table,RDA element in table,IRI, ,"<entity> property from table <$0>
<$0> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-13",, 
7,reviewed,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,not(2),,,,$0, ,,,no $t,only name portion,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,$0 type is right and no $1,,no $2,,,RDA URI in table,RDA element in table,IRI, ,"<entity> property from table <$0>
<$0> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-13",, 
8,delete,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,#,,,,$1|$0, ,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2,$1|$0 from id.loc.gov,,RDA URI in table,RDA element in table,IRI, ,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50411 ""value of $a$b$c$d$j$q$u + $g"" . // has authorized access point for person",, 
9,delete,700.0,ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Type of added entry,#,,,,$1|$0, ,,,no $t,$a$b$c$d$j$q$u + $g (if no $t or before $t),The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2,$1|$0 not from id.loc.gov,,RDA URI in table,RDA element in table,IRI, ,"<WorkIRI> RDA URI <$1|$0>
<$1|$0>  rdaad:P50377 ""value of $a$b$c$d$j$q$u + $g"" . // has access point for person",, 
