,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,MARCTagCondition7,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,Identified and approved source in $2,,,,RDA URI in table,RDA element in table,IRI,,"<WorkIRI> RDA URI <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, b, c, d, g, n, u"". // has authorized access point for  corporate body",,
1,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,Identified and unapproved source in $2,,,,RDA URI in table,RDA element in table,IRI,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaao:P50375 <nomenIRI>. // has access point for corporate body
<NomenIRI>  rdand:P80068 ""value of a, b, c, d, g, n, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <transform> . // has scheme of nomen",,
2,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,No source in $2 with approved $1,,,,RDA URI in table,RDA element in table,IRI,,"<WorkIRI> RDA URI <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, b, c, d, g, n, u"". // has authorized access point for corporate body",,
3,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,No source in $2 with unapproved $1,,,,RDA URI in table,RDA element in table,IRI,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50375  ""value of a, b, c, d, g, n, u"". . // has access point for corporate body",,
4,delete,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2,$1|$0 from id.loc.gov,,,RDA URI in table,RDA element in table,IRI,,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50407 ""value of a, b, c, d, g, n, u"". // has authorized access point for corporate body",,
5,delete,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2,$1|$0 not from id.loc.gov,,,RDA URI in table,RDA element in table,IRI,,"<WorkIRI> RDA URI <$1|$0>
<$1|$0> rdaad:P50375 ""value of a, b, c, d, g, n, u"". // has access point for  corporate body",,
6,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,Identified and approved source in $2,,5,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<ItemIRI> has related corporate body of item <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, b, c, d, g, n, u"". // has authorized access point for  corporate body",,
7,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,Identified and unapproved source in $2,,5,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<ItemIRI> has related corporate body of item <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaao:P50375 <nomenIRI>. // has access point for corporate body
<NomenIRI>  rdand:P80068 ""value of a, b, c, d, g, n, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <transform> . // has scheme of nomen",,
8,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,No source in $2 with approved $1,,5,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<ItemIRI> has related corporate body of item <$1>
<$1> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<$1> rdaad:P50407 ""value of a, b, c, d, g, n, u"". // has authorized access point for corporate body",,
9,first pass,710.0,ADDED ENTRY--CORPORATE NAME (R),Type of corporate name entry element,*,,Type of added entry,#,,,,$1|$0,,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,No source in $2 with unapproved $1,,5,,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,IRI,,"<ItemIRI> has related corporate body of item <corporate body IRI>
<corporate body IRI> rdaad:P50006 ""stringified $0"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50006 ""stringified $1"" .// has identifier for corporate body
<corporate body IRI> rdaad:P50375  ""value of a, b, c, d, g, n, u"". . // has access point for corporate body",,
