,c,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,0,Alternative entry (BK AM CF MP MU) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,not ($5),,The record is not describing an aggregate manifestation,check aggregate markers ,,,http://rdaregistry.info/Elements/m/P30128,has variant title of manifestation,unstructured,Treating 740 with ind2 = 0 / Alternative entry (obsolete indicator but still appearing in many older records) as variant title for manifestation.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
1,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,0,Alternative entry (BK AM CF MP MU) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,5,Institution to which field applies,,,,,http://rdaregistry.info/Elements/i/P40086,has variant title of item,unstructured,See $5 instructions; apply property to the item minted from this process.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,Decision: https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iij-5
2,Not mapped,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,0,Alternative entry (BK AM CF MP MU) [OBSOLETE],,,h,Medium (NR),,,,,,,,, , , ,"Treating 740 with ind2 = 0 (obsolete indicator but still appearing in many older records) as variant title for manifestation.  It's llkely that $h also appears in 245 and would be mapped, so this would be redundant; its purpose would be to display within the title which is not valid for RDA.  LA 12/29/2024", ,,
3,delete,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,0,Alternative entry (BK AM CF MP MU) [OBSOLETE],,,n,Number of part/section of a work (R),,,,,,,,,,,,,,,
4,delete,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,0,Alternative entry (BK AM CF MP MU) [OBSOLETE],,,p,Name of part/section of a work (R),,,,,,,,,,,,,,,
5,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,1,Secondary entry (BK AM CF MP MU) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,"Format from Leader is Books, Archival Material, Computer Files, Maps, Music",,not ($5),,The record is not describing an aggregate manifestation,check aggregate markers ,https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,unstructured,"Based on review of results for wwu Alma sandbox/orbis cascade alliance, 740 with ind2 = 1  (obsolete indicator but still appearing in many older records) was applied to a mixture of variant titles, portions of titles, and analytical titles (from 505), thus no more pecific property can be used.  LA 12/29/2024","value of  ""a + n + p"" 
",,
6,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,1,Secondary entry (BK AM CF MP MU) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,"Format from Leader is Books, Archival Material, Computer Files, Maps, Music",,5,Institution to which field applies,,,http://rdaregistry.info/Elements/i/P40069,has related work of item,unstructured,See $5 instructions; apply property to the item minted from this process.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
7,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,1,Printed on card (VM) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,Format from Leader is Visual Materials,,not ($5),,The record is not describing an aggregate manifestation,check aggregate markers ,http://rdaregistry.info/Elements/m/P30128,has variant title of manifestation,unstructured,Treating 740 with ind2 = 1 for Visual Materials format / Printed on card (obsolete indicator but still appearing in many older records) as variant title of manifestation.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
8,done,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,1,Printed on card (VM) [OBSOLETE],,,"a, n, p",Uncontrolled related/analytical title (NR),,,Format from Leader is Visual Materials,,5,Institution to which field applies,,,http://rdaregistry.info/Elements/i/P40086,has variant title of item,unstructured,See $5 instructions; apply property to the item minted from this process.  LA 12/29/2024,"""a + n + p"" retain punctuation.",,
9,not mapped,740,ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE (R),Nonfiling characters,*,Nonfiling characters not specified [OBSOLETE],Type of added entry,1,Secondary entry (BK AM CF MP MU) [OBSOLETE],,,h,Medium (NR),,,,,,,,,,,,Treating 740 with ind2 = 1 (obsolete indicator but still appearing in many older records) as related title for manifestation. $h  purpose would be to display within the title which is not valid for RDA; choosing not to mint an entity IRI so as to apply a category of manifestation property for this value.  LA 12/29/2024,,,
