,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,,LDR,Leader,,,,,,,00-04,Logical record length,,,,,,,,,,,,,,,
1,,LDR,Leader,,,,,,,05,Record status,,,a,Increase in encoding level,,,,,,,,,,,
2,,LDR,Leader,,,,,,,05,Record status,,,c,Corrected or revised,,,,,,,,,,,
3,,LDR,Leader,,,,,,,05,Record status,,,d,Deleted,,,,,,,,,,,
4,,LDR,Leader,,,,,,,05,Record status,,,n,New,,,,,,,,,,,
5,,LDR,Leader,,,,,,,05,Record status,,,p,Increase in encoding level from prepublication,,,,,,,,,,,
6,,LDR,Leader,,,,,,,06,Type of record,,,a,Language material,,,,,,,,,,,
7,,LDR,Leader,,,,,,,06,Type of record,,,b,Archival and manuscripts control [OBSOLETE],,,,,,,,,,,
8,,LDR,Leader,,,,,,,06,Type of record,,,c,Notated music,,,,,,,,,,,
9,,LDR,Leader,,,,,,,06,Type of record,,,d,Manuscript notated music,,,,,,,,,,,
10,,LDR,Leader,,,,,,,06,Type of record,,,e,Cartographic material,,,,,,,,,,,
11,,LDR,Leader,,,,,,,06,Type of record,,,f,Manuscript cartographic material,,,,,,,,,,,
12,,LDR,Leader,,,,,,,06,Type of record,,,g,Projected medium,,,,,,,,,,,
13,,LDR,Leader,,,,,,,06,Type of record,,,h,Microform publications [OBSOLETE],,,,,,,,,,,
14,,LDR,Leader,,,,,,,06,Type of record,,,i,Nonmusical sound recording,,,,,,,,,,,
15,,LDR,Leader,,,,,,,06,Type of record,,,j,Musical sound recording,,,,,,,,,,,
16,,LDR,Leader,,,,,,,06,Type of record,,,k,Two-dimensional nonprojectable graphic,,,,,,,,,,,
17,,LDR,Leader,,,,,,,06,Type of record,,,m,Computer file,,,,,,,,,,,
18,,LDR,Leader,,,,,,,06,Type of record,,,n,Special instructional material [OBSOLETE],,,,,,,,,,,
19,,LDR,Leader,,,,,,,06,Type of record,,,o,Kit,,,,,,,,,,,
20,,LDR,Leader,,,,,,,06,Type of record,,,p,Mixed material,,,,,,,,,,,
21,,LDR,Leader,,,,,,,06,Type of record,,,r,Three-dimensional artifact or naturally occurring object,,,,,,,,,,,
22,,LDR,Leader,,,,,,,06,Type of record,,,t,Manuscript language material,,,,,,,,,,,
23,,LDR,Leader,,,,,,,07,Bibliographic level,,,a,Monographic component part,,,,,,,,,,,
24,,LDR,Leader,,,,,,,07,Bibliographic level,,,b,Serial component part,,,,,,,,,,,
25,,LDR,Leader,,,,,,,07,Bibliographic level,,,c,Collection,,,,,,,,,,,
26,,LDR,Leader,,,,,,,07,Bibliographic level,,,d,Subunit,,,,,,,,,,,
27,,LDR,Leader,,,,,,,07,Bibliographic level,,,i,Integrating resource,,,,,,,,,,,
28,,LDR,Leader,,,,,,,07,Bibliographic level,,,m,Monograph/item,,,,,,,,,,,
