Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
,LDR,Leader,,,,,,,00-04,Logical record length,,,,,,,,,,,,,,,
,LDR,Leader,,,,,,,5,Record status,,,a,Increase in encoding level,,,,,,,,,,,
,LDR,Leader,,,,,,,5,Record status,,,c,Corrected or revised,,,,,,,,,,,
,LDR,Leader,,,,,,,5,Record status,,,d,Deleted,,,,,,,,,,,
,LDR,Leader,,,,,,,5,Record status,,,n,New,,,,,,,,,,,
,LDR,Leader,,,,,,,5,Record status,,,p,Increase in encoding level from prepublication,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,a,Language material,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,b,Archival and manuscripts control [OBSOLETE],,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,c,Notated music,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,d,Manuscript notated music,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,e,Cartographic material,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,f,Manuscript cartographic material,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,g,Projected medium,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,h,Microform publications [OBSOLETE],,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,i,Nonmusical sound recording,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,j,Musical sound recording,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,k,Two-dimensional nonprojectable graphic,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,m,Computer file,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,n,Special instructional material [OBSOLETE],,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,o,Kit,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,p,Mixed material,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,r,Three-dimensional artifact or naturally occurring object,,,,,,,,,,,
,LDR,Leader,,,,,,,6,Type of record,,,t,Manuscript language material,,,,,,,,,,,
,LDR,Leader,,,,,,,7,Bibliographic level,,,a,Monographic component part,,,,,,,,,,,
,LDR,Leader,,,,,,,7,Bibliographic level,,,b,Serial component part,,,,,,,,,,,
,LDR,Leader,,,,,,,7,Bibliographic level,,,c,Collection,,,,,,,,,,,
,LDR,Leader,,,,,,,7,Bibliographic level,,,d,Subunit,,,,,,,,,,,
,LDR,Leader,,,,,,,7,Bibliographic level,,,i,Integrating resource,,,,,,,,,,,
,LDR,Leader,,,,,,,7,Bibliographic level,,,m,Monograph/item,,,,,,,,,,,
,LDR,Leader,,,,,,,7,Bibliographic level,,,s,Serial,,,,,,,,,,,
,LDR,Leader,,,,,,,8,Type of control,,,#,No specific type,,,,,,,,,,,
,LDR,Leader,,,,,,,8,Type of control,,,a,Archival,,,,,,,,,,,
