Field,condition1,c1-values,condition2,c2-values
100,$4 ,scl, , 
100,$4 ,arc,,
100,$4 ,arc,,
100,$4 ,arc,,
100,$4 ,arc,,
100,$4 ,arc,,
100,$4 ,arc,,
100,$4 ,arc,,
100,$4 ,art,,
100,$4 ,art,,
100,$4 ,art,,
100,$4 ,art,,
100,$4 ,art,,
100,$4 ,art,,
100,$4 ,art,,
100,$4 ,aus,,
100,$4 ,aus,,
100,$4 ,aus,,
100,$4 ,aus,,
100,$4 ,aus,,
100,$4 ,aus,,
100,$4 ,aus,,
100,$4 ,aus,,
100,$4 ,aut,,
100,$4 ,aut,,
100,$4 ,aut,,
100,$4 ,aut,,
100,$4 ,aut,,
100,$4 ,aut,,
100,$4 ,aut,,
100,$4 ,aut,,
100,$4 ,chr,,
100,$4 ,chr,,
100,$4 ,chr,,
100,$4 ,chr,,
100,$4 ,chr,,
100,$4 ,chr,,
100,$4 ,chr,,
100,$4 ,chr,,
100,$4 ,cll,,
100,$4 ,cll,,
100,$4 ,cll,,
100,$4 ,cll,,
100,$4 ,cll,,
100,$4 ,cll,,
100,$4 ,cll,,
100,$4 ,cll,,
100,$4 ,cmp,,
100,$4 ,cmp,,
100,$4 ,cmp,,
100,$4 ,cmp,,
100,$4 ,cmp,,
100,$4 ,cmp,,
100,$4 ,cmp,,
100,$4 ,com,,
100,$4 ,com,,
100,$4 ,com,,
100,$4 ,com,,
100,$4 ,com,,
100,$4 ,com,,
100,$4 ,com,,
100,$4 ,cre,,
100,$4 ,cre,,
100,$4 ,cre,,
100,$4 ,cre,,
100,$4 ,cre,,
100,$4 ,cre,,
100,$4 ,cre,,
100,$4 ,cre,,
100,$4 ,ctg,,
100,$4 ,ctg,,
100,$4 ,ctg,,
100,$4 ,ctg,,
100,$4 ,ctg,,
100,$4 ,ctg,,
100,$4 ,ctg,,
100,$4 ,ctg,,
100,$4 ,dsr,,
100,$4 ,dsr,,
100,$4 ,dsr,,
100,$4 ,dsr,,
100,$4 ,dsr,,
100,$4 ,dsr,,
100,$4 ,dsr,,
100,$4 ,fmk,,
100,$4 ,fmk,,
100,$4 ,fmk,,
100,$4 ,fmk,,
100,$4 ,fmk,,
100,$4 ,fmk,,
100,$4 ,fmk,,
100,$4 ,inv,,
100,$4 ,inv,,
100,$4 ,inv,,
100,$4 ,inv,,
100,$4 ,inv,,
100,$4 ,inv,,
100,$4 ,inv,,
100,$4 ,ive,,
100,$4 ,ive,,
100,$4 ,ive,,
100,$4 ,ive,,
100,$4 ,ive,,
100,$4 ,ive,,
100,$4 ,ive,,
100,$4 ,ivr,,
100,$4 ,ivr,,
100,$4 ,ivr,,
100,$4 ,ivr,,
100,$4 ,ivr,,
100,$4 ,ivr,,
100,$4 ,ivr,,
100,$4 ,lbt,,
100,$4 ,lbt,,
100,$4 ,lbt,,
100,$4 ,lbt,,
100,$4 ,lbt,,
100,$4 ,lbt,,
100,$4 ,lbt,,
100,$4 ,lbt,,
100,$4 ,lyr,,
100,$4 ,lyr,,
100,$4 ,lyr,,
100,$4 ,lyr,,
100,$4 ,lyr,,
100,$4 ,lyr,,
100,$4 ,lyr,,
100,$4 ,lyr,,
100,$4 ,pht,,
100,$4 ,pht,,
100,$4 ,pht,,
100,$4 ,pht,,
100,$4 ,pht,,
100,$4 ,pht,,
100,$4 ,pht,,
100,$4 ,pra ,,
100,$4 ,prg,,
100,$4 ,prg,,
100,$4 ,prg,,
