Status	MARCField	MARCFieldLabel	MARCInd1Label	MARCInd1Value	MARCInd1ValueLabel	MARCInd2Label	MARCInd2Value	MARCInd2ValueLabel	CharacterPosition	CharacterPositionLabel	MARCSubfield	MARCSubfieldLabel	CodeValue	CodeValueLabel	MARCTagCondition1	Condition1Values	MARCTagCondition2	Condition2Values	RDA Registry URI	RDA Registry Label	Recording Method	Justification for Mapping	Transformation Notes	Problems with Mapping	Notes (Uncategorized)
	400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME  (R) [US-LOCAL]	Type of personal name entry element	0	Forename	Pronoun represents main entry	0	Main entry not represented by pronoun			a	Personal name (NR)													
	400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME  (R) [US-LOCAL]	Type of personal name entry element	0	Forename	Pronoun represents main entry	1	Main entry represented by pronoun			a	Personal name (NR)													
	400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME  (R) [US-LOCAL]	Type of personal name entry element	1	Surname	Pronoun represents main entry	0	Main entry not represented by pronoun			a	Personal name (NR)													
	400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME  (R) [US-LOCAL]	Type of personal name entry element	1	Surname	Pronoun represents main entry	1	Main entry represented by pronoun			a	Personal name (NR)													
	400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME  (R) [US-LOCAL]	Type of personal name entry element	2	Multiple surname [OBSOLETE]	Pronoun represents main entry	0	Main entry not represented by pronoun			a	Personal name (NR)													
	400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME  (R) [US-LOCAL]	Type of personal name entry element	2	Multiple surname [OBSOLETE]	Pronoun represents main entry	1	Main entry represented by pronoun			a	Personal name (NR)													
	400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME  (R) [US-LOCAL]	Type of personal name entry element	3	Family name	Pronoun represents main entry	0	Main entry not represented by pronoun			a	Personal name (NR)													
	400	SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME  (R) [US-LOCAL]	Type of personal name entry element	3	Family name	Pronoun represents main entry	1	Main entry represented by pronoun			a	Personal name (NR)													
	410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME (R) [US-LOCAL]	Type of corporate name entry element	0	Inverted name	Pronoun represents main entry	0	Main entry not represented by pronoun			a	Corporate name or jurisdiction name as entry element (NR)													
	410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME (R) [US-LOCAL]	Type of corporate name entry element	0	Inverted name	Pronoun represents main entry	1	Main entry represented by pronoun			a	Corporate name or jurisdiction name as entry element (NR)													
	410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME (R) [US-LOCAL]	Type of corporate name entry element	1	Jurisdiction name	Pronoun represents main entry	0	Main entry not represented by pronoun			a	Corporate name or jurisdiction name as entry element (NR)													
	410	SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME (R) [US-LOCAL]	Type of corporate name entry element	1	Jurisdiction name	Pronoun represents main entry	1	Main entry represented by pronoun			a	Corporate name or jurisdiction name as entry element (NR)													
